Enchantment registry audit
Total ID slots: 256

id   name                      type            weight maxLvl class
161  enchantment.qf.necromancer weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Necromancer
162  enchantment.qf.alpha      weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Alpha
163  enchantment.qf.bastion    weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Bastion
164  enchantment.qf.trade      weapon          1      3      com.questforge.content.ench.enchants.PvpEnchants$Trade
165  enchantment.qf.decapitate weapon          1      3      com.questforge.content.ench.enchants.MiscEnchants$Decapitate
166  enchantment.qf.crushingblow weapon          1      3      com.questforge.content.ench.enchants.AbilityEnchants$CrushingBlow
167  enchantment.qf.getoffme   weapon          1      3      com.questforge.content.ench.enchants.AbilityEnchants$GetOffMe
168  enchantment.qf.rally      weapon          1      1      com.questforge.content.ench.enchants.AbilityEnchants$Rally
169  enchantment.qf.piercing   bow             1      3      com.questforge.content.ench.enchants.BowEnchants$Piercing
170  enchantment.qf.penetrating bow             1      3      com.questforge.content.ench.enchants.BowEnchants$Penetrating
171  enchantment.qf.ricochet   bow             1      3      com.questforge.content.ench.enchants.BowEnchants$Ricochet
172  enchantment.qf.bola       bow             1      3      com.questforge.content.ench.enchants.BowEnchants$Bola
173  enchantment.qf.instanttransmission bow             1      1      com.questforge.content.ench.enchants.BowEnchants$InstantTransmission
174  enchantment.qf.soulentwine bow             1      1      com.questforge.content.ench.enchants.BowEnchants$SoulEntwine
175  enchantment.qf.homing     bow             1      3      com.questforge.content.ench.enchants.BowEnchants$Homing
176  enchantment.qf.haste      digger          1      3      com.questforge.content.ench.enchants.PotionEnchants$Haste
177  enchantment.qf.excavate   digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$Excavate
178  enchantment.qf.timber     weapon          1      1      com.questforge.content.ench.enchants.ToolEnchants$Timber
179  enchantment.qf.tunneler   digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$Tunneler
180  enchantment.qf.sieve      digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$Sieve
181  enchantment.qf.bountiful  digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$Bountiful
182  enchantment.qf.transmuter digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$Transmuter
183  enchantment.qf.oldreliable digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$OldReliable
184  enchantment.qf.ecofriendly digger          1      3      com.questforge.content.ench.enchants.ToolEnchants$EcoFriendly
185  enchantment.qf.mending    all             1      1      com.questforge.content.ench.enchants.ToolEnchants$Mending
186  enchantment.qf.fortune_v  digger          1      1      com.questforge.content.ench.enchants.MiscEnchants$FortuneV
187  enchantment.qf.fortune_x  digger          1      1      com.questforge.content.ench.enchants.MiscEnchants$FortuneX
188  enchantment.qf.bold       digger          1      1      com.questforge.content.ench.enchants.MiscEnchants$Bold
189  enchantment.qf.frog       armor_feet      1      3      com.questforge.content.ench.enchants.PotionEnchants$Frog
190  enchantment.railcraft.crowbar.wrecking digger          2      5      mods.railcraft.common.items.enchantment.EnchantmentDamageRailcraft
191  enchantment.railcraft.crowbar.implosion digger          2      5      mods.railcraft.common.items.enchantment.EnchantmentDamageRailcraft
192  enchantment.railcraft.crowbar.destruction digger          1      3      mods.railcraft.common.items.enchantment.EnchantmentDestruction
193  enchantment.qf.deft       armor_feet      1      2      com.questforge.content.ench.enchants.PotionEnchants$Deft
194  enchantment.qf.tank       armor_torso     1      3      com.questforge.content.ench.enchants.PotionEnchants$Tank
195  enchantment.qf.cockroach  armor_torso     1      3      com.questforge.content.ench.enchants.PotionEnchants$Cockroach
196  Reading                   armor_head      1      1      jds.bibliocraft.EnchantmentReading
197  Eternal Compass           all             1      1      jds.bibliocraft.EnchantmentDeathCompass
198  enchantment.qf.regrowth   armor_legs      1      3      com.questforge.content.ench.enchants.PotionEnchants$Regrowth
199  enchantment.qf.bulwark    armor_torso     1      3      com.questforge.content.ench.enchants.ArmorEnchants$Bulwark
200  enchantment.qf.cleansing  armor_legs      1      3      com.questforge.content.ench.enchants.ArmorEnchants$Cleansing
201  enchantment.qf.stonehide  armor           1      3      com.questforge.content.ench.enchants.ArmorEnchants$Stonehide
202  enchantment.qf.rebound    armor           1      3      com.questforge.content.ench.enchants.ArmorEnchants$Rebound
203  enchantment.qf.reflect    armor           1      3      com.questforge.content.ench.enchants.ArmorEnchants$Reflect
204  enchantment.qf.turtle     armor           1      1      com.questforge.content.ench.enchants.ArmorEnchants$Turtle
205  enchantment.qf.affliction armor           1      4      com.questforge.content.ench.enchants.ArmorEnchants$Affliction
206  enchantment.qf.reach      weapon          1      3      com.questforge.content.ench.enchants.ClientEnchants$Reach
207  enchantment.qf.camouflage armor_legs      1      3      com.questforge.content.ench.enchants.ArmorEnchants$Camouflage
208  enchantment.qf.sacrifice  armor           1      1      com.questforge.content.ench.enchants.ArmorEnchants$Sacrifice
209  enchantment.qf.vigor      armor_torso     1      3      com.questforge.content.ench.enchants.EnchantVigor
210  enchantment.qf.polarize   armor           1      3      com.questforge.content.ench.enchants.PvpEnchants$Polarize
211  enchantment.openblocks.explosive armor           2      3      openblocks.enchantments.EnchantmentExplosive
212  enchantment.openblocks.laststand armor           2      2      openblocks.enchantments.EnchantmentLastStand
213  enchantment.openblocks.flimflam all             2      4      openblocks.enchantments.EnchantmentFlimFlam
214  enchantment.qf.frostpath  armor_feet      1      3      com.questforge.content.ench.enchants.MiscEnchants$Frostpath
215  enchantment.qf.soulbound  all             1      1      com.questforge.content.ench.enchants.EnchantSoulbound
216  enchantment.qf.tracker    weapon          1      3      com.questforge.content.ench.enchants.ClientEnchants$Tracker
217  enchantment.qf.jammer     weapon          1      3      com.questforge.content.ench.enchants.ClientEnchants$Jammer
218  enchantment.qf.prospector digger          1      3      com.questforge.content.ench.enchants.ClientEnchants$Prospector
219  enchantment.qf.torchlight digger          1      3      com.questforge.content.ench.enchants.ClientEnchants$Torchlight
220  enchantment.qf.flippers   armor_feet      1      3      com.questforge.content.ench.enchants.ArmorEnchants$Flippers
255  enchantment.saurclout     weapon          3      3      com.salvestrom.w2theJungle.enchantments.SaurClout

Used: 148 / 256   Free: 108

Free ID ranges:
  8-15  (8 slots)
  22-31  (10 slots)
  36-47  (12 slots)
  53-60  (8 slots)
  63
  86-99  (14 slots)
  104-124  (21 slots)
  221-254  (34 slots)
