file	name	version	category	bytes
PandorasBox.jar	Pandora's Box	2.1	Magic & the Arcane	283286
ProjectE.jar	ProjectE	1.7.10-PE1.10.1	Magic & the Arcane	1380486
Psychedelicraft-1.5.2.jar	Psychedelicraft	1.5.2	Magic & the Arcane	5507088
Sync-4.0.1.jar	Sync	4.0.1	Magic & the Arcane	214683
Witchery.jar	Witchery	1.7.10-0.24.1	Magic & the Arcane	7009956
GravityGun.jar	Gravity Gun		Franchises & Fiction	266221
1Legends-1.7.10-8.6.2.jar	Legends Mod	8.6.2	Franchises & Fiction	88108012
MCHeli.zip	MC Helicopter	1.0.4	Franchises & Fiction	269290723
PortalGun-4.0.0-beta-6-fix-1.jar	Portal Gun		Franchises & Fiction	626478
TardisMod.jar	TARDIS Mod		Franchises & Fiction	5216898
TransformersMod-0.6.3-qf1.jar	Transformers	0.6.3-qf1	Franchises & Fiction	3005078
WeepingAngels.jar	Weeping Angels	1.7.10-3.3.2	Franchises & Fiction	373032
ArchimedesPlus.jar	Archimedes' Ships Plus	1.7.10-1.8.1	Tech, Transport & Storage	240223
ChestTransporter.jar	Chest Transporter	2.0.4	Tech, Transport & Storage	43346
ChickenChunks-1.7.10-1.3.4.19-universal.jar	ChickenChunks	1.3.4.19	Tech, Transport & Storage	106701
compactmachines-1.7.10-1.21.jar	Compact Machines	1.7.10-1.21	Tech, Transport & Storage	325985
EnderStorage-1.7.10-1.4.7.37-universal.jar	Ender Storage	1.4.7.37	Tech, Transport & Storage	145063
enderutilities-1.7.10-0.5.3.jar	Ender Utilities	0.5.3	Tech, Transport & Storage	807346
hopperductmod-1.7.10-1.3.2.jar	Hopper Ducts	1.7.10-1.3.2	Tech, Transport & Storage	47065
ICBM.jar	ICBM Classic		Tech, Transport & Storage	5823607
ironchestuniversal.jar	Iron Chest	6.0.62.742	Tech, Transport & Storage	158104
OpenBlocks-1.7.10-1.6.jar	OpenBlocks	1.6	Tech, Transport & Storage	2799187
Railcraft.jar	Railcraft	9.12.2.0	Tech, Transport & Storage	3724974
SecurityCraftv.jar	SecurityCraft		Tech, Transport & Storage	1060122
StorageDrawers.jar	Storage Drawers	1.7.10-1.10.9	Tech, Transport & Storage	589456
VoltzEngine.jar	Voltz Engine	1.7.10-1.11.0b491	Tech, Transport & Storage	2159423
WR-CBE-1.7.10-1.4.1.9-universal.jar	Wireless Redstone	1.4.1.9	Tech, Transport & Storage	352856
ArchitectureCraft-1.7.2-mc1.7.10.jar	ArchitectureCraft	1.7.2-mc1.7.10	Building & Decoration	690049
BiblioCraft.jar	BiblioCraft	1.10.5	Building & Decoration	5266476
CarpentersBlocks.jar	Carpenter's Blocks	3.3.6	Building & Decoration	494604
Chisel.jar	Chisel 2	2.3.10.37	Building & Decoration	5198576
Decocraft.jar	Decocraft	2.4.2_1.7.10	Building & Decoration	13365882
HatStand.jar	Hat Stand		Building & Decoration	32401
Hats.jar	Hats	4.0.1	Building & Decoration	283132
malisisdoors.jar	Malisis' Doors	1.7.10-1.13.2	Building & Decoration	1645689
MobStatues.jar	Mob Statues	1.7.10-0.1.1	Building & Decoration	27436
MrCrayfishsFurnitureMod.jar	MrCrayfish's Furniture Mod	3.4.7	Building & Decoration	1728686
Statues.jar	Statues	2.1.2	Building & Decoration	206777
secretroomsmod.jar	The SecretRoomsMod	1.7.10-4.7.1.413	Building & Decoration	147210
Controlling.jar	Controlling	1.7.10-1.0.0	Comfort & Interface	17486
CustomMenu.jar	Custom Menu	2.0.0.3	Comfort & Interface	5244452
FastLeafDecay-1.7.10-1.4.jar	Fast Leaf Decay	1.7.10-1.4	Comfort & Interface	7079
FoodExpansionmc.jar	Food Expansion	1.1	Comfort & Interface	43843
FoodPlus.jar	Food Plus		Comfort & Interface	1176180
GraveStones 1.7.10 -3.jar	Gravestones		Comfort & Interface	97214
inventorypets-1.7.10-1.5.2-universal.jar	Inventory Pets	1.5.2	Comfort & Interface	6048433
InventoryTweaksdev.jar	Inventory Tweaks	1.59-dev-152-cf6e263	Comfort & Interface	220847
journeymappunlimited.jar	JourneyMap	1.7.10-5.1.4p2	Comfort & Interface	1731255
NEIAddons.jar	NEI Addons	1.12.10.33	Comfort & Interface	96670
NEIIntegrationMC.jar	NEI Integration	1.1.2	Comfort & Interface	197046
NoMoreRecipeConflict.jar	No More Recipe Conflict		Comfort & Interface	16043
NotEnoughItemsuniversal.jar	Not Enough Items		Comfort & Interface	512719
Origin.jar	Origin	1.7.10-3.3.0	Comfort & Interface	357727
SoundFilters-0.8_for_1.7.X.jar	Sound Filters	0.8	Comfort & Interface	41252
TrailMix.jar	Trail Mix		Comfort & Interface	223998
Waila.jar	Waila	1.5.10_1.7.10	Comfort & Interface	544821
AIImprovements-1.7.10-0.0.1b19-dev.jar	AI Improvements	1.7.10-0.0.1b19	Performance & Background	7443
AnimationAPI.jar	AnimationAPI	1.7.10-1.2.4	Performance & Background	14859
asielib.jar	asielib	0.2.3	Performance & Background	110224
BetterFps-1.0.1.jar	BetterFps	1.0.1	Performance & Background	63223
ChunkPregeneratorV.jar	Chunk Pregenerator		Performance & Background	493686
CodeChickenCore.jar	CodeChicken Core		Performance & Background	145722
1.7.10/CodeChickenLib-1.7.10-1.1.3.138-universal.jar	CodeChicken Lib		Performance & Background	314789
1.7.10/CodingLib-0.2.8b50.jar	CodingLib		Performance & Background	84549
CraftTweaker-1.7.10-3.1.0-legacy.jar	CraftTweaker	1.7.10-3.1.0	Performance & Background	1047406
DarkCore.jar	Dark Core		Performance & Background	86526
fastcraft-1.25.jar	FastCraft	1.25	Performance & Background	183482
1.7.10/ForgeMultipart-1.7.10-1.2.0.345-universal.jar	Forge Multipart	1.2.0.345	Performance & Background	943474
iChunUtil.jar	iChunUtil	4.2.2	Performance & Background	220214
IvToolkit.jar	IvToolkit	1.2.1	Performance & Background	373500
malisiscore.jar	MalisisCore	1.7.10-0.14.3	Performance & Background	648081
littleMaidMobXx.jar	MMMLib	1.7.x-0.1.1	Performance & Background	1074113
MobiusCore.jar	MobiusCore	1.2.5_1.7.10	Performance & Background	56432
ModTweaker2-0.9.6.jar	ModTweaker 2	0.9.6	Performance & Background	572698
MovingWorld.jar	Moving World	1.7.10-1.8.1	Performance & Background	154694
OpenModsLib-1.7.10-0.10.1.jar	OpenMods Lib	0.10.1	Performance & Background	2162732
OptiFine_1.7.10_HD_U_E7.jar	OptiFine	1.7.10 HD U E7	Performance & Background	1739846
QuestForgeTweaks-1.0.jar	QuestForge Tweaks		Performance & Background	7419
Saintscore.jar	Saintscore	0.6	Performance & Background	6630
